Clinton Bank & Trust Company,Sq 3  Liberty  St. Helena & Bank Sts,CLINTON,LA,70722,-37.685944,145.141613,
Family Bank,1000 East Hallandale Beach Boulevard,HALLANDALE,FL,33009,25.98563,-80.13837,
Bank of Hallandale and Trust Company,801 East Beach Boulevard,HALLANDALE,FL,33009,25.98577,-80.140235,
First National Bank of Hallandale,1900 East Hallandale Beach Boulevard,HALLANDALE,FL,33009,25.985921,-80.128813,
TransCapital Bank,2100 East Hallandale Beach Boulevard,HALLANDALE,FL,33009,25.985986,-80.127191,
TransCapital Bank,2100 East Hallandale Beach Boulevard,HALLANDALE,FL,33009,25.985986,-80.127191,http://www.transcapitalbank.org
Home Federal Bank of Hollywood,900 North Federal Highway,HALLANDALE,FL,33009,25.994964,-80.142635, 
Home Federal Bank of Hollywood,1600 South Federal Highway,HOLLYWOOD,FL,33020,25.997561,-80.142689,
Atlantic National Bank of Broward,6015 Washington Street,MIRAMAR,FL,33023,26.002646,-80.20764,
Royal Trust Bank of Broward County,7841 Pines Boulevard,PEMBROKE PINES,FL,33024,26.009312,-80.245096,
Hollywood National Bank,101 Hollywood Fashion Center,HOLLYWOOD,FL,33021,26.01009,-80.207599,
Commercial Bank of Hollywood,5701 Hollywood Boulevard,HOLLYWOOD,FL,33021,26.0102,-80.20151,
Unifirst Federal Savings Bank,3830 Hollywood Boulevard,HOLLYWOOD,FL,33021,26.010432,-80.18149,
First National Bank of Hollywood,3900 Hollywood Boulevard,HOLLYWOOD,FL,33021,26.010437,-80.181897,
Home Savings Bank  F.S.B.,1720 Harrison St,HOLLYWOOD,FL,33020,26.010646,-80.141281,
Hollywood Federal Savings Bank,1909 Tyler Street,HOLLYWOOD,FL,33020,26.012315,-80.145286,
Barnett Bank of Hollywood,1900 Tyler Street,HOLLYWOOD,FL,33020,26.012318,-80.145142,
Hollywood Federal Bank  A Federal Savings Bank,1909 Tyler St,HOLLYWOOD,FL,33020,26.012446,-80.145215,
Horizon Bank  FSB,1851 Nw 125th Avenue  Suite 100,HOLLYWOOD,FL,33028,26.023456,-80.316296,
American Bank of Hollywood,6600 Taft Street,HOLLYWOOD,FL,33021,26.024552,-80.220178,
Seminole National Bank,3351 North State Road  No. 7,HOLLYWOOD,FL,33021,26.032054,-80.208275,
Suncoast Savings and Loan Association  FSA,4350 Sheridan Street,HOLLYWOOD,FL,33021,26.03269,-80.185854,
PanAmerican Bank,3475 Sheridan Street,HOLLYWOOD,FL,33021,26.032939,-80.178352,
Barnett Bank of West Hollywood,2655 North 60th Avenue,HOLLYWOOD,FL,33021,26.033467,-80.208393,
Great American Bank of Davie,6300 Stirling Road,PEMBROKE PINES,FL,33024,26.046323,-80.215956,
Natbank  National Association,4031 Oakwood Boulevard,HOLLYWOOD,FL,33020,26.046408,-80.160046, 
Floridian Community Bank  Inc.,5599 South University Drive,DAVIE,FL,33328,26.046524,-80.251767,http://www.floridiancommunitybank.com
First Western Bank,5854 South Flamingo Road,DAVIE,FL,33330,26.047946,-80.312979,
Community Bank of Broward,1991 Stirling Road,DANIA,FL,33004,26.047988,-80.16708,http://www.communitybankofbroward.com
Caribank,255 East Dania Beach Boulevard,DANIA,FL,33004,26.052497,-80.139399,
Atlantic National Bank of Davie,4150 S.W. 64th Avenue,DAVIE,FL,33314,26.070574,-80.232178,
FirstBank,203 North Arroyo Boulevard,BAYVIEW,TX,78566,26.07261,-97.47617,
First National Bank of South Padre Island,709 Park Road 100,SOUTH PADRE ISLA,TX,78597,26.07322,-97.15893,http://www.fnbspi.com
Merchants Marine Bank,215 Powers Street,PORT ISABEL,TX,78578,26.074644,-97.211272,
Island Bank,500 Padre Boulevard,PORT ISABEL,TX,78578,26.075018,-97.162385,
South Florida Savings  A Federal Savings and Loan ,7901 Sw 36th Street,DAVIE,FL,33328,26.0765,-80.252242,
FirstBank of Port Isabel  National Association,1800 West Highway 100,PORT ISABEL,TX,78578,26.08764076,-97.2543869,
Regent Bank,2205 South University Drive,PLANTATION,FL,33324,26.091321,-80.251271,http://www.regentbank.com
Southport American National Bank of Fort Lauderdal,1491 Southeast 17th Street,FORT LAUDERDALE,FL,33315,26.099131,-80.159739,
Barnett Bank of Port Everglades,924 S.E. 17th Street,FORT LAUDERDALE,FL,33316,26.100186,-80.133771,
Border Bank,Bridge Street And Rhode Avenue,HIDALGO,TX,78557,26.10283279,-98.25363922,
South Padre Bank  National Association,2700 Padre Boulevard,SOUTH PADRE ISLA,TX,78597,26.111873,-97.169041, 
Equitable Bank,633 South Federal Highway,FORT LAUDERDALE,FL,33301,26.114016,-80.137177,http://www.equitablebankfla.com
First Federal Savings and Loan Association of Brow,301 East Las Olas Blvd,FORT LAUDERDALE,FL,33301,26.119052,-80.140268,
SunTrust Bank  South Florida  National Association,501 East Las Olas Boulevard,FORT LAUDERDALE,FL,33301,26.1192,-80.138181,
First National Bank of San Benito,1151 West Highway 77,SAN BENITO,TX,78586,26.120758,-97.627578,
Cypress Savings Association,One North University Drive,PLANTATION,FL,33324,26.12098,-80.252432,
Bank of Florida,110 East Broward Boulevard,FORT LAUDERDALE,FL,33301,26.122261,-80.142381,http://www.bankofflorida.com
Barnett Bank of Broward County  National Associati,1 East Broward Boulevard,FORT LAUDERDALE,FL,33301,26.122269,-80.143454,
Interbanc,200 Northeast Third Avenue,FORT LAUDERDALE,FL,33301,26.124262,-80.14058,
San Benito Bank & Trust Company,198 South Sam Houston Street,SAN BENITO,TX,78586,26.130739,-97.632728,
Optimumbank.com,10197 Cleary Boulevard,PLANTATION,FL,33324,26.132913,-80.287124,
OptimumBank,10197 Cleary Boulevard,PLANTATION,FL,33324,26.132913,-80.287124,http://www.optimumbank.com
First Community Bank  National Association,1151 West Highway 77,SAN BENITO,TX,78586,26.13365936,-97.64474487,http://www.fcbweb.net
First State Bank of Fort Lauderdale,424 West Sunrise Boulevard,FORT LAUDERDALE,FL,33311,26.136385,-80.148265,
Valley Bank,424 West Sunrise Boulevard,FORT LAUDERDALE,FL,33311,26.136385,-80.148265,http://www.valleyfl.com
Cameron County Savings Association,295 West Highway 77,SAN BENITO,TX,78586,26.136821,-97.624448,
BankAtlantic,1750 E Sunrise Blvd,OAKLAND PARK,FL,33304,26.13717,-80.123561,http://www.bankatlantic.com
Gulfstream American Bank and Trust  N.A.,1415 East Sunrise Boulevard,OAKLAND PARK,FL,33304,26.137177,-80.129226,
Sunrise American National Bank of Fort Lauderdale,2240 East Sunrise Boulevard,OAKLAND PARK,FL,33304,26.137569,-80.11747,
Stonegate Bank,2455 East Sunrise Boulevard  Suite 600,OAKLAND PARK,FL,33304,26.137943,-80.113652,http://www.stonegatebank.com
Union Bank of Florida,1205 N.W. 40th Avenue,CITY OF SUNRISE,FL,33313,26.141022,-80.202521,
Citizens and Southern National Bank of Collier Cou,691 5th Avenue South,NAPLES,FL,33940,26.14157,-81.797638,
Barnett Bank of Naples,796 5th Avenue South,NAPLES,FL,33940,26.141726,-81.796201,
Summit Bank,1380 North University Drive,SUNRISE,FL,33322,26.14298,-80.256855,
Gold Coast Savings Bank,1801 N Pine Island Road,SUNRISE,FL,33322,26.145447,-80.269107,
Gold Coast Federal Savings Bank,1801 North Pine Island Road,SUNRISE,FL,33322,26.145447,-80.269107,
Hanover Bank of Florida,8211 West Brow Boulevard  Suite 230,PLANTATION,FL,33324,26.148624,-80.259752,
Mercedes National Bank,Highway And Texas Avenue,MERCEDES,TX,78570,26.15133095,-97.91850281,
Texas National Bank,Highway And Texas Avenue,MERCEDES,TX,78570,26.15133095,-97.91850281, 
California Federal Savings and Loan Association - ,500 East Broward Blvd,SUNRISE,FL,33322,26.15192223,-80.2719574,
Hidalgo County Bank and Trust Company,301 South Texas Avenue,MERCEDES,TX,78570,26.154723,-97.913526,
River Valley Bank  FSB,606 South Texas Avenue,WESLACO,TX,78596,26.155119,-97.990586,
Magic Valley Savings and Loan Association,606 South Texas Ave,WESLACO,TX,78596,26.155119,-97.990586,
Mid Valley Bank,500 South Missouri Avenue,WESLACO,TX,78596,26.156861,-97.991592,
First National Bank of Weslaco,401 South Kansas,WESLACO,TX,78596,26.157891,-97.989615,
City National Bank,401 South Kansas,WESLACO,TX,78596,26.157891,-97.989615,
New River Bank,2901 West Oakland Park Boulevard,FORT LAUDERDALE,FL,33311,26.16536,-80.182991,
First National Bank of La Feria,Main Street,LA FERIA,TX,78559,26.1665554,-97.82611847,
Landmark Bank of Sunrise  National Association,7770 West Oakland Park Boulevard,TAMARAC,FL,33321,26.166596,-80.253683,
Carney Bank of Broward County,8102 West Oakland Park Boulevard,TAMARAC,FL,33321,26.166899,-80.258074,
Century National Bank of Coral Ridge,2626 East Oakland Park Boulevard,OAKLAND PARK,FL,33306,26.167172,-80.113228,
Florida Bank at Fort Lauderdale,3300 North Federal Highway,OAKLAND PARK,FL,33306,26.168906,-80.118064,
Citizens State Bank,132 South Main Street,DONNA,TX,78537,26.170161,-98.054344,
Community Bank of Naples  National Association,5150 North Tamiami Trail,NAPLES,FL,33940,26.17139053,-81.80219269,
Northern Trust Bank of Florida/Naples National Ass,4001 Tamiami Trail North,NAPLES,FL,33940,26.17139053,-81.80219269,
Southeast Bank of Galt Ocean Mile,3600 North Ocean Boulevard,OAKLAND PARK,FL,33306,26.172632,-80.099692,
United Federal Savings and Loan Association of Bro,3600 North Federal Highway,OAKLAND PARK,FL,33308,26.172635,-80.11927,
Security State Bank,118 South Cage Street,PHARR,TX,78577,26.17705345,-98.18701935,
Southeast Bank of Naples  N. A.,2829 Tamiami Trail North,NAPLES,FL,33940,26.179916,-81.799933,
American National Bank,4301 North Federal Highway,OAKLAND PARK,FL,33308,26.180725,-80.119645,http://www.americannationalbank.com
Pan American Bank of Broward County  National Asso,150 N.E. 44th Street,OAKLAND PARK,FL,33308,26.181042,-80.148028,
Alamo Bank of Texas,809 Main Street,ALAMO,TX,78516,26.182242,-98.118098,
Inter National Bank,1801 South Col Rowe Blvd,MCALLEN,TX,78503,26.186846,-98.224114,http://www.inbweb.com
Bank of North America,2000 West Commercial Boulevard,FORT LAUDERDALE,FL,33309,26.187984,-80.171105,
Citizens National Bank of Naples,811 Anchor Rode Drive,NAPLES,FL,33940,26.188191,-81.80171,
Landmark Bank of North Fort Lauderdale  National A,4901 North Federal Highway,OAKLAND PARK,FL,33306,26.1884,-80.115604,
Town and Country National Bank,1902 West Tyler Street,HARLINGEN,TX,78550,26.189286,-97.716411,
Landmark Bank  National Association,2600 East Commercial Boulevard,OAKLAND PARK,FL,33308,26.189533,-80.111092,http://www.giantbank.com
Texas Country Bank,235 West 5th Street,SAN JUAN,TX,78589,26.189662,-98.157243,
Harlingen National Bank,115 East Van Buren Street,HARLINGEN,TX,78550,26.191619,-97.695377,
First RepublicBank Harlingen  National Association,202 East Van Buren Street,HARLINGEN,TX,78550,26.191636,-97.694394,
Key Trust Company of Florida  National Association,3777 Tamiami Trail North  Suite 100,NAPLES,FL,33940,26.192051,-81.800153,
Tropical Savings and Loan Association,Van Buren & Second Streets,HARLINGEN,TX,78550,26.19514275,-97.6889801,
Texas State Bank,521 North 77th Sunshine Strip,HARLINGEN,TX,78550,26.196971,-97.680255,
Metropolitan National Bank,One North Jackson Road,MCALLEN,TX,78501,26.198795,-98.204026,
McAllen State Bank,200 South Tenth Street,MCALLEN,TX,78501,26.201856,-98.230326,
Collier Bank,4501 Tamiami Trail North,NAPLES,FL,33940,26.202008,-81.800359,
MBank Harlingen  National Association,1121 East Austin Street,HARLINGEN,TX,78550,26.202162,-97.684313,
Central National Bank Pharr  Texas,840 North Cage,PHARR,TX,78577,26.202749,-98.182612,
Gateway American Bank of Florida,1451 N.W. 62nd Street  Suite 212,FORT LAUDERDALE,FL,33309,26.203597,-80.128687,
Valley National Bank,1901 South 77 Sunshine Strip,HARLINGEN,TX,78550,26.211315,-97.702477,
First Valley Bank,1901 South 77 Sunshine Strip,HARLINGEN,TX,78550,26.211315,-97.702477,
Lone Star National Bank,100 West 495,PHARR,TX,78577,26.211724,-98.182292,http://www.lonestarnationalbank.com
Security Bank  National Association,1450 South State Road 7,POMPANO BEACH,FL,33068,26.21602058,-80.22054291,http://www.sbna.com
Bancflorida  A Federal Savings Bank,5801 Pelican Bay Blvd,NAPLES,FL,33942,26.217315,-81.803443,
Ambassador Federal Savings and Loan Association,8201 North University Drive,TAMARAC,FL,33321,26.225016,-80.253029,
Ambassador Savings and Loan Association,8201 North University Drive,TAMARAC,FL,33321,26.225016,-80.253029,
Valley National Bank,2400 North Tenth Street,MCALLEN,TX,78501,26.225028,-98.226337,
Florida Coast Bank of Oceanside,101 South Ocean Boulevard,POMPANO BEACH,FL,33062,26.230847,-80.090843,
Southern Federal Savings and Loan Association,225 North Federal Highway,POMPANO BEACH,FL,33062,26.233876,-80.102938,
First National Bank on the Beach,199 North Ocean Boulevard,POMPANO BEACH,FL,33062,26.235418,-80.09044,
Brazos Bank  National Association,Highway 174 South,JOSHUA,TX,76058,26.23643,-98.35865,
Texas State Bank,3900 North Tenth Street,MCALLEN,TX,78501,26.238248,-98.224071,http://www.texasstatebank.com
Commonwealth Federal Savings and Loan Association,1200 N S Road #7,MARGATE,FL,33063,26.2492218,-80.21147919,
First National Bank of Margate,911 Main Boulevard,MARGATE,FL,33063,26.2492218,-80.21147919,
Florida Coast Bank of Margate,550 Main Boulevard,MARGATE,FL,33063,26.2492218,-80.21147919,
Florida Coast Bank of Coral Springs  National Asso,550 Main Boulevard,MARGATE,FL,33063,26.2492218,-80.21147919,
Commonwealth Savings and Loan Association,1200 N S Road #7,MARGATE,FL,33063,26.2492218,-80.21147919,
Bank of Coral Springs,3300 University Drive,CORAL SPRINGS,FL,33065,26.271245,-80.250236,
Coral Savings and Loan Association  F.A.,3111 University Drive,CORAL SPRINGS,FL,33065,26.27140236,-80.25557709,
Coral Savings and Loan Association,3111 University Drive,CORAL SPRINGS,FL,33065,26.27140236,-80.25557709,
National City Bank,10281 West Sample Road,CORAL SPRINGS,FL,33065,26.272571,-80.263298,
Southern National Bank of Broward County,400 East Sample Road,LIGHTHOUSE POINT,FL,33064,26.274784,-80.129438,
First National Bank of Broward County,3550 North Federal Highway,LIGHTHOUSE POINT,FL,33064,26.274859,-80.097443,
National Bank of Commerce,1919 South Closner,EDINBURG,TX,78539,26.283337,-98.1656,
First State Bank & Trust Co.,900 Conway Street,ALTON,TX,78572,26.290578,-98.31311,
NBC Bank - Rio Grande Valley  National Association,1101 Conway Street,ALTON,TX,78572,26.290578,-98.31311,
Hidalgo Federal Savings and Loan Association,300 South Closner,EDINBURG,TX,78539,26.299156,-98.162762,
Hidalgo Savings and Loan Association,300 South Closner,EDINBURG,TX,78539,26.299156,-98.162762,
First State Bank & Trust Company,100 East Cano Street,EDINBURG,TX,78539,26.300243,-98.162464,
NBC Bank-Edinburg,100 East Cano Street,EDINBURG,TX,78539,26.300243,-98.162464,
First National Bank,100 West Cano Street,EDINBURG,TX,78539,26.30027,-98.162667,http://www.webfnb.com
Southeast Bank of Deerfield Beach,1007 South Federal Highway,DEERFIELD BEACH,FL,33441,26.304848,-80.092983,
Deerfield Beach State Bank,225 South Federal Highway,DEERFIELD BEACH,FL,33441,26.30955505,-80.0991745,
Investors Federal Savings Bank,1802 West Hillsboro Boulevard,DEERFIELD BEACH,FL,33442,26.317852,-80.127386,
Investors of Florida Savings Bank,1802 West Hillsboro Blvd,DEERFIELD BEACH,FL,33442,26.317852,-80.127386,
Deer Creek Bank,3311 West Hillsboro Boulevard,DEERFIELD BEACH,FL,33441,26.317914,-80.148586,
First Fidelity Trust  National Association  Florid,1515 North Federal Highway 315,BOCA RATON,FL,33432,26.336149,-80.087503,
Fidelity Union Trust Company of Florida  National ,1515 North Federal Highway  Suite 315,BOCA RATON,FL,33432,26.336149,-80.087503,
First Commercial Bank of Florida,1515 North Federal Highway,BOCA RATON,FL,33432,26.336149,-80.087503,
First Bankers of Palm Beach County  National A,77 East Camino Real,BOCA RATON,FL,33432,26.341081,-80.086676,
Boca Raton Federal Savings and Loan Association,555 South Federal Highway,BOCA RATON,FL,33432,26.344713,-80.086387,
Florida Coast Bank of Palm Beach County  N.A.,23123 State Road 7,BOCA RATON,FL,33433,26.34640884,-80.15640259,
Bank of Boston - Florida  National Association,95 South Federal Highway,BOCA RATON,FL,33432,26.348908,-80.08643,
First Southern Bank,7301 West Palmetto Park Road,BOCA RATON,FL,33434,26.35039,-80.158219,http://www.firstsouthernbank.com
1st United Bank,One North Federal Highway,BOCA RATON,FL,33432,26.350666,-80.086498,http://www.1stunitedbankfl.com
Transflorida Bank,1489 West Palmetto Park Road,BOCA RATON,FL,33486,26.350873,-80.114918,
Pointe Federal Savings Bank,21845 Powerline Road,BOCA RATON,FL,33433,26.352331,-80.154029,
Pointe Bank,21845 Powerline Road,BOCA RATON,FL,33433,26.352331,-80.154029,
Boca Bank,302 Plaza Real,BOCA RATON,FL,33432,26.354806,-80.085983,
1st United Bank,980 North Federal Highway,BOCA RATON,FL,33432,26.359448,-80.084035,
First Marine Bank of Boca Raton,1000 North Federal Highway,BOCA RATON,FL,33432,26.359775,-80.083784,
First National Bank of Florida at Bonita Springs,Tamiami Trail,BONITA SPRINGS,FL,33923,26.361,-81.807605,
Jefferson National Bank,21302 St. Andrews Boulevard,BOCA RATON,FL,33433,26.361784,-80.13742,
Chemical Trust Company of Florida  National Associ,1200 North Federal Highway,BOCA RATON,FL,33434,26.361976,-80.082137,
Net First National Bank,5295 Town Center Road,BOCA RATON,FL,33486,26.363672,-80.127755,
First Bank of West Boca Raton,5200 Glades Road,BOCA RATON,FL,33432,26.364276,-80.100224,
SOUTHERN COMMUNITY BANK OF SOUTH FLORIDA,1850 North Federal Highway,BOCA RATON,FL,33432,26.366563,-80.078677,
First Southern Bank,9955 West Glades Road,BOCA RATON,FL,33434,26.368013,-80.202251,
Legacy Bank of Florida,2300 Glades Road  Suite 120/140 West,BOCA RATON,FL,33431,26.368102,-80.126781,http://www.legacybankfl.com
Mellon Bank (FL) National Association,5500 Glades Road  Suite 600,BOCA RATON,FL,33434,26.368174,-80.128903,
AMTRUST BANK  F.S.B.,5550 Glades Road,BOCA RATON,FL,33431,26.368192,-80.129338,
Guardian Bank,2255 Glades Road  Suites 138w And 140w,BOCA RATON,FL,33431,26.368249,-80.12613,
Guardian Bank  a Federal Savings Bank,2255 Glades Road  Suites 138w And 140w,BOCA RATON,FL,33431,26.368249,-80.12613,
Fleet Bank  F.S.B.,2255 Glades Road,BOCA RATON,FL,33431,26.368249,-80.12613,
First Chicago Trust Company of Florida  National A,1900 Corporate Boulevard  N.W.  Suite 302,BOCA RATON,FL,33431,26.370711,-80.122385,
Comerica Bank & Trust  Federal Savings Bank,1800 Corporate Boulevard  N.W.,BOCA RATON,FL,33431,26.370733,-80.1213,
Mizner Bank,2600 North Military Trail,BOCA RATON,FL,33431,26.371017,-80.121043,
Paradise Bank,2420 North Federal Highway,BOCA RATON,FL,33431,26.372005,-80.076519,http://www.paradisebank.com
First State Bank & Trust Co.,100 North Britton Avenue,RIO GRANDE CITY,TX,78582,26.379132,-98.820745,
Lincoln First Trust Company of Florida  National A,5550 Glades Road  Suite 401,BOCA RATON,FL,33434,26.38390923,-80.17485809,
University National Bank of Boca Raton,3900 North Federal Highway,BOCA RATON,FL,33432,26.385224,-80.076408,
EuroBank,568 Yamato Road,BOCA RATON,FL,33431,26.394421,-80.090474,http://www.eurobankfl.com
Southern Floridabanc Federal Savings and Loan Asso,5255 N Federal Highway,BOCA RATON,FL,33431,26.395596,-80.076562,
Citizens State Bank,1710 Grant Street,ROMA,TX,78584,26.414145,-99.020932,http://www.csbroma.com
Caribank of Palm Beach County,7400 North Federal Highway,BOCA RATON,FL,33431,26.41602,-80.075047,
Banyan Bank,7601 North Federal Highway,BOCA RATON,FL,33431,26.417861,-80.074835,
Central Bank,13769 North Congress Avenue,DELRAY BEACH,FL,33445,26.426729,-80.0922,
